,epoch,elapsed_time,MSE_f_train,MSE_f,RMSE_u,lr,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/L,config/N,config/activation,config/batch_size,config/lr,config/lr_scheduler,config/num_points,config/use_sobol,logdir
0,596.4992,300.01221776008606,1219.7967701447317,1203.7033,0.1767070930339686,5.287723679538736e-16,1.4134597778320312,False,,,597,66812_00000,cc6402111e9641d1b7621c46f4a9f592,2023-06-01_15-44-58,1685623498,301.7809720039368,15859,ds01,192.168.3.71,301.7809720039368,0,597,0.0035152435302734,1,256,ELU,128,0.01,ExponentialLR-0.95,10000,False,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,InitialSearch/trainable_66812_00000_0_L=1,N=256,activation=ELU,batch_size=128,lr=0.0100,lr_scheduler=ExponentialLR-0_95,num_points=10000,use_sob_2023-06-01_15-39-50"
1,860.0,300.0920057296753,1213.2558475,1211.32432,0.1777621956248273,1.0000000000000004e-08,1.034308910369873,False,,,860,66812_00001,cc6402111e9641d1b7621c46f4a9f592,2023-06-01_15-49-59,1685623799,300.74235582351685,15859,ds01,192.168.3.71,300.74235582351685,0,860,0.0035152435302734,3,128,ELU,8192,0.001,ReduceLROnPlateau-0.1-10,100000,False,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,InitialSearch/trainable_66812_00001_1_L=3,N=128,activation=ELU,batch_size=8192,lr=0.0010,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=100000_2023-06-01_15-44-58"
2,2655.6144,300.0370457172394,1214.8988037109375,1203.8411,0.1766721434314092,1.52587890625e-08,0.7339179515838623,False,,,2656,66812_00002,cc6402111e9641d1b7621c46f4a9f592,2023-06-01_15-55-00,1685624100,300.6986222267151,15859,ds01,192.168.3.71,300.6986222267151,0,2656,0.0035152435302734,4,256,ELU,2048,0.001,ReduceLROnPlateau-0.5-2,10000,False,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,InitialSearch/trainable_66812_00002_2_L=4,N=256,activation=ELU,batch_size=2048,lr=0.0010,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=10000,u_2023-06-01_15-49-59"
3,130.72448,300.0409564971924,1218.3912918576082,1217.69082,0.1776823979630465,1.220703125e-08,2.18151330947876,False,,,131,66812_00003,cc6402111e9641d1b7621c46f4a9f592,2023-06-01_16-00-00,1685624400,300.5595271587372,15859,ds01,192.168.3.71,300.5595271587372,0,131,0.0035152435302734,1,128,tanh,256,0.0001,ReduceLROnPlateau-0.5-2,100000,False,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,InitialSearch/trainable_66812_00003_3_L=1,N=128,activation=tanh,batch_size=256,lr=0.0001,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=100000,_2023-06-01_15-55-00"
4,174.37376,300.1221742630005,1228.2113789597602,1239.06125,0.1776826349827525,1.1920928955078126e-08,1.3409714698791504,False,,,175,66812_00004,cc6402111e9641d1b7621c46f4a9f592,2023-06-01_16-05-01,1685624701,300.7508280277252,15859,ds01,192.168.3.71,300.7508280277252,0,175,0.0035152435302734,3,256,sin,512,0.1,ReduceLROnPlateau-0.5-2,100000,False,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,InitialSearch/trainable_66812_00004_4_L=3,N=256,activation=sin,batch_size=512,lr=0.1000,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=100000,u_2023-06-01_16-00-00"
5,67.360448,301.0757346153259,1206.5045637650924,1208.303742,0.1769971045133324,1.9073486328125e-08,3.073119878768921,False,,,68,66812_00006,63b2c85487524e26937c2544942fed25,2023-06-01_16-10-11,1685625011,302.4885833263397,27834,ds01,192.168.3.71,302.4885833263397,0,68,0.0035901069641113,1,1024,sin,8192,0.01,ReduceLROnPlateau-0.5-2,1000000,False,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,InitialSearch/trainable_66812_00006_6_L=1,N=1024,activation=sin,batch_size=8192,lr=0.0100,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=100000_2023-06-01_16-05-02"
6,71.0,300.8645193576813,1205.3557721875,1208.299583,0.1769959975829973,1.220703125e-08,4.717806577682495,False,,,71,66812_00007,63b2c85487524e26937c2544942fed25,2023-06-01_16-15-12,1685625312,301.36350440979004,27834,ds01,192.168.3.71,301.36350440979004,0,71,0.0035901069641113,1,1024,sin,16384,0.0001,ReduceLROnPlateau-0.5-2,1000000,True,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,InitialSearch/trainable_66812_00007_7_L=1,N=1024,activation=sin,batch_size=16384,lr=0.0001,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=10000_2023-06-01_16-10-11"
7,7.620544,308.2608585357666,1209.4642020751148,1208.29953,0.1769959347360439,6.983372960937497e-05,28.52720141410828,False,,,8,66812_00008,63b2c85487524e26937c2544942fed25,2023-06-01_16-20-21,1685625621,308.906436920166,27834,ds01,192.168.3.71,308.906436920166,0,8,0.0035901069641113,3,1024,sigmoid,1024,0.0001,ExponentialLR-0.95,1000000,False,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,InitialSearch/trainable_66812_00008_8_L=3,N=1024,activation=sigmoid,batch_size=1024,lr=0.0001,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-01_16-15-12"
8,4.569856,312.5658962726593,37355097008398.49,24294042052337.86,76419.2277376341,0.8145062499999999,44.35189414024353,False,,,5,66812_00009,63b2c85487524e26937c2544942fed25,2023-06-01_16-25-34,1685625934,313.2771735191345,27834,ds01,192.168.3.71,313.2771735191345,0,5,0.0035901069641113,4,1024,ELU,512,1.0,ExponentialLR-0.95,1000000,True,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,InitialSearch/trainable_66812_00009_9_L=4,N=1024,activation=ELU,batch_size=512,lr=1,lr_scheduler=ExponentialLR-0_95,num_points=1000000,use_sobol_2023-06-01_16-20-21"
9,11463.0,300.0082321166992,1209.2976,1203.8911,0.1766886302802545,4.65547309140179e-258,0.821272611618042,False,,,11463,66812_00010,63b2c85487524e26937c2544942fed25,2023-06-01_16-30-35,1685626235,300.8040008544922,27834,ds01,192.168.3.71,300.8040008544922,0,11463,0.0035901069641113,4,64,sigmoid,16384,0.01,ExponentialLR-0.95,10000,True,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,InitialSearch/trainable_66812_00010_10_L=4,N=64,activation=sigmoid,batch_size=16384,lr=0.0100,lr_scheduler=ExponentialLR-0_95,num_points=10000,u_2023-06-01_16-25-34"
10,630.5888,300.0154769420624,1207.591141410496,1203.8594,0.1766711761091023,1.52587890625e-08,0.7792134284973145,False,,,631,66812_00011,63b2c85487524e26937c2544942fed25,2023-06-01_16-35-36,1685626536,300.5126478672028,27834,ds01,192.168.3.71,300.5126478672028,0,631,0.0035901069641113,1,256,ELU,128,0.001,ReduceLROnPlateau-0.5-2,10000,True,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,InitialSearch/trainable_66812_00011_11_L=1,N=256,activation=ELU,batch_size=128,lr=0.0010,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=10000,u_2023-06-01_16-30-35"
11,22.68672,300.15396785736084,1201.803392081425,1211.97631,0.1772815918740093,0.0001,9.730464696884155,False,,,23,66812_00012,63b2c85487524e26937c2544942fed25,2023-06-01_16-40-36,1685626836,300.80068016052246,27834,ds01,192.168.3.71,300.80068016052246,0,23,0.0035901069641113,4,256,tanh,64,0.0001,ReduceLROnPlateau-0.1-10,100000,False,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,InitialSearch/trainable_66812_00012_12_L=4,N=256,activation=tanh,batch_size=64,lr=0.0001,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=100000_2023-06-01_16-35-36"
