,elapsed_time,MSE_f_train,MSE_f,RMSE_u,lr,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/L,config/N,config/activation,config/batch_size,config/lr,config/lr_scheduler,config/num_points,logdir
0,300.0094816684723,1209.308333203125,1203.8599,0.1766711761091023,1.0000000000000004e-08,0.8326883316040039,False,,,1719,93475_00000,78fa31bc357a439f941584a8d54f8660,2023-05-19_03-58-41,1684457921,301.5963547229767,43649,ds28,192.168.3.128,301.5963547229767,0,1719,0.0072991847991943,1,256,ELU,256,0.0001,ReduceLROnPlateau-0.1-10,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00000_0_L=1,N=256,activation=ELU,batch_size=256,lr=0.0001,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=10000_2023-05-19_03-53-31"
1,300.0137348175049,1209.296925,1203.8678,0.17667740315376,1.52587890625e-08,0.5468947887420654,False,,,7456,93475_00001,78fa31bc357a439f941584a8d54f8660,2023-05-19_04-03-42,1684458222,300.5266046524048,43649,ds28,192.168.3.128,300.5266046524048,0,7456,0.0072991847991943,2,256,sin,2048,0.001,ReduceLROnPlateau-0.5-2,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00001_1_L=2,N=256,activation=sin,batch_size=2048,lr=0.0010,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=10000_2023-05-19_03-58-41"
2,300.405800819397,1205.3009386558256,1208.299541,0.1769959374085486,0.0001,29.72307062149048,False,,,7,93475_00002,78fa31bc357a439f941584a8d54f8660,2023-05-19_04-08-43,1684458523,300.7546548843384,43649,ds28,192.168.3.128,300.7546548843384,0,7,0.0072991847991943,3,128,tanh,128,0.0001,None,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00002_2_L=3,N=128,activation=tanh,batch_size=128,lr=0.0001,lr_scheduler=None,num_points=1000000_2023-05-19_04-03-42"
3,300.0261423587799,1210.929547991071,1203.9072,0.1767048910762615,1.0000000000000004e-08,0.7515368461608887,False,,,614,93475_00003,78fa31bc357a439f941584a8d54f8660,2023-05-19_04-13-43,1684458823,300.70126724243164,43649,ds28,192.168.3.128,300.70126724243164,0,614,0.0072991847991943,2,512,atan,128,0.01,ReduceLROnPlateau-0.1-10,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00003_3_L=2,N=512,activation=atan,batch_size=128,lr=0.0100,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=10000_2023-05-19_04-08-43"
4,300.2919821739197,1204.7778679551368,1207.679371,0.1770064979696687,0.001,6.361650466918945,False,,,28,93475_00004,78fa31bc357a439f941584a8d54f8660,2023-05-19_04-18-44,1684459124,300.798691034317,43649,ds28,192.168.3.128,300.798691034317,0,28,0.0072991847991943,2,64,ELU,512,0.01,ReduceLROnPlateau-0.1-10,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00004_4_L=2,N=64,activation=ELU,batch_size=512,lr=0.0100,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=1000000_2023-05-19_04-13-43"
5,300.5522782802582,1205.296875,1208.299556,0.1769959461157408,1.4901161193847656e-08,1.026282548904419,False,,,161,93475_00005,78fa31bc357a439f941584a8d54f8660,2023-05-19_04-23-45,1684459425,300.96372532844543,43649,ds28,192.168.3.128,300.96372532844543,0,161,0.0072991847991943,2,256,sigmoid,32768,1.0,ReduceLROnPlateau-0.5-2,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00005_5_L=2,N=256,activation=sigmoid,batch_size=32768,lr=1,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=1000000_2023-05-19_04-18-44"
6,300.94143652915955,1132.54614,1136.752768,0.1702436948888682,0.00125,13.22721815109253,False,,,24,93475_00006,78fa31bc357a439f941584a8d54f8660,2023-05-19_04-28-47,1684459727,301.7151143550873,43649,ds28,192.168.3.128,301.7151143550873,0,24,0.0072991847991943,2,1024,ELU,4096,0.01,ReduceLROnPlateau-0.5-2,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00006_6_L=2,N=1024,activation=ELU,batch_size=4096,lr=0.0100,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=100000_2023-05-19_04-23-45"
7,300.00709438323975,1209.2968,1203.8948,0.1766918860135004,1.9073486328125e-08,0.5848836898803711,False,,,8317,93475_00007,78fa31bc357a439f941584a8d54f8660,2023-05-19_04-33-47,1684460027,300.559846162796,43649,ds28,192.168.3.128,300.559846162796,0,8317,0.0072991847991943,3,128,atan,8192,0.01,ReduceLROnPlateau-0.5-2,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00007_7_L=3,N=128,activation=atan,batch_size=8192,lr=0.0100,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=10000_2023-05-19_04-28-47"
8,300.8347244262696,60.41560908726284,47.91819265625,0.0508439200503384,1.0,1.549478530883789,False,,,97,93475_00008,78fa31bc357a439f941584a8d54f8660,2023-05-19_04-38-49,1684460329,301.32322335243225,43649,ds28,192.168.3.128,301.32322335243225,0,97,0.0072991847991943,1,1024,sin,16384,1.0,None,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00008_8_L=1,N=1024,activation=sin,batch_size=16384,lr=1,lr_scheduler=None,num_points=1000000_2023-05-19_04-33-48"
9,300.2941493988037,1191.6479,1186.0116,0.1753125174075303,1.4330828530710288e-12,2.493471384048462,False,,,398,93475_00009,78fa31bc357a439f941584a8d54f8660,2023-05-19_04-43-51,1684460631,302.0760695934296,43649,ds28,192.168.3.128,302.0760695934296,0,398,0.0072991847991943,4,2048,sin,16384,0.001,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00009_9_L=4,N=2048,activation=sin,batch_size=16384,lr=0.0010,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-05-19_04-38-49"
10,300.4676625728607,1206.2594572114622,1208.585743,0.1773146861509353,1.0,21.768595933914185,False,,,7,93475_00010,78fa31bc357a439f941584a8d54f8660,2023-05-19_04-48-52,1684460932,300.9833264350891,43649,ds28,192.168.3.128,300.9833264350891,0,7,0.0072991847991943,2,128,atan,128,1.0,ReduceLROnPlateau-0.1-10,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00010_10_L=2,N=128,activation=atan,batch_size=128,lr=1,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=1000000_2023-05-19_04-43-51"
11,300.01704692840576,1209.3004,1203.877,0.1766795622719543,1.257088026831504e-145,0.5068044662475586,False,,,6371,93475_00011,78fa31bc357a439f941584a8d54f8660,2023-05-19_04-53-52,1684461232,300.4819276332855,43649,ds28,192.168.3.128,300.4819276332855,0,6371,0.0072991847991943,4,256,sigmoid,16384,0.001,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00011_11_L=4,N=256,activation=sigmoid,batch_size=16384,lr=0.0010,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-05-19_04-48-52"
12,301.8281593322754,1205.2998120857008,1217.69262,0.1776833348760535,0.001,5.222190141677856,False,,,38,93475_00012,78fa31bc357a439f941584a8d54f8660,2023-05-19_04-58-56,1684461536,303.18472027778625,43649,ds28,192.168.3.128,303.18472027778625,0,38,0.0072991847991943,4,2048,tanh,512,0.001,None,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,RandomSearch/trainable_93475_00012_12_L=4,N=2048,activation=tanh,batch_size=512,lr=0.0010,lr_scheduler=None,num_points=100000_2023-05-19_04-53-52"
