,epoch,elapsed_time,MSE_f_train,MSE_f,RMSE_u,lr,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/L,config/N,config/activation,config/batch_size,config/lr,config/lr_scheduler,config/num_points,logdir,should_checkpoint
0,109.0,1801.7107319831848,387.14783875,389.156596,0.0626599093845465,1.8310546875000002e-08,16.898333311080933,True,,,109,f3037236,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-01_01-14-26,1685571266,1804.6063485145569,43442,ds28,192.168.3.128,1804.6063485145569,0,109,0.0060193538665771,3,576,ELU,1440,0.00030000000000000003,ReduceLROnPlateau-0.5-2,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_f3037236_1_L=3,N=576,activation=ELU,batch_size=1440,lr=0.0003,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=1000000_2023-06-01_00-44-12",
1,0.7168768,1820.0156710147855,387.1740601422629,387.2136468079313,0.0625032930423066,0.0038,1820.4993262290957,True,,,1,d3c3643f,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-01_01-44-46,1685573086,1820.4993262290957,43442,ds28,192.168.3.128,1820.4993262290957,0,1,0.0060193538665771,1,128,tanh,160,0.0038,ReduceLROnPlateau-0.5-2,100000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_d3c3643f_2_L=1,N=128,activation=tanh,batch_size=160,lr=0.0038,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=100000000_2023-06-01_01-14-26",True
2,1.0,42.92977261543274,387.1482574375,389.156677,0.0626599385153295,0.0106,42.94960808753967,True,,,1,99ddaad9,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-01_01-45-29,1685573129,42.94960808753967,43442,ds28,192.168.3.128,42.94960808753967,0,1,0.0060193538665771,3,1216,sigmoid,384,0.0106,ReduceLROnPlateau-0.1-10,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_99ddaad9_3_L=3,N=1216,activation=sigmoid,batch_size=384,lr=0.0106,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=10000_2023-06-01_01-44-46",
3,1.0,7.109904766082764,387.14826934375,389.1566835,0.0626599338580579,0.0446,7.112714767456055,True,,,1,26debbf7,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-01_01-45-36,1685573136,7.112714767456055,43442,ds28,192.168.3.128,7.112714767456055,0,1,0.0060193538665771,1,576,ELU,832,0.0446,None,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_26debbf7_4_L=1,N=576,activation=ELU,batch_size=832,lr=0.0446,lr_scheduler=None,num_points=1000000_2023-06-01_01-45-29",
4,40.3243264,1804.663351535797,387.2030608285357,387.3836409,0.0625170115367896,1.0000000000000002e-07,17.91152310371399,True,,,41,ab1fee04,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-01_02-15-42,1685574942,1805.7076473236084,43442,ds28,192.168.3.128,1805.7076473236084,0,41,0.0060193538665771,2,160,tanh,1312,0.0001,ReduceLROnPlateau-0.1-10,10000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_ab1fee04_5_L=2,N=160,activation=tanh,batch_size=1312,lr=0.0001,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=10000000_2023-06-01_01-45-36",
5,0.9870192,1870.6365463733675,387.1728977368804,387.2586509259394,0.0625069252221054,0.0112,1871.1119549274445,True,,,1,a6919743,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-01_02-46-53,1685576813,1871.1119549274445,43442,ds28,192.168.3.128,1871.1119549274445,0,1,0.0060193538665771,2,256,sigmoid,288,0.0112,None,100000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_a6919743_6_L=2,N=256,activation=sigmoid,batch_size=288,lr=0.0112,lr_scheduler=None,num_points=100000000_2023-06-01_02-15-42",True
6,1.0,10.65551781654358,387.1478488046875,389.15660675,0.0626599122154383,0.0026,10.656915187835692,True,,,1,fe42205b,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-01_02-47-04,1685576824,10.656915187835692,43442,ds28,192.168.3.128,10.656915187835692,0,1,0.0060193538665771,2,96,sigmoid,512,0.0026000000000000003,ReduceLROnPlateau-0.5-2,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_fe42205b_7_L=2,N=96,activation=sigmoid,batch_size=512,lr=0.0026,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=1000000_2023-06-01_02-46-53",
7,5.0,1120.7378509044647,387.173388004375,387.26810997,0.062507688548391,0.0001,225.61428999900815,True,,,5,23978ae1,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-01_03-05-45,1685577945,1121.042142868042,43442,ds28,192.168.3.128,1121.042142868042,0,5,0.0060193538665771,1,64,atan,2432,0.0002,ReduceLROnPlateau-0.5-2,100000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_23978ae1_8_L=1,N=64,activation=atan,batch_size=2432,lr=0.0002,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=100000000_2023-06-01_02-47-04",
8,2.0,1724.083377122879,387.17339007875,387.26811023,0.0625076885752432,0.0014,863.4117746353149,True,,,2,3f2e7e83,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-01_03-34-30,1685579670,1725.144686460495,43442,ds28,192.168.3.128,1725.144686460495,0,2,0.0060193538665771,2,512,ELU,2688,0.0014,ReduceLROnPlateau-0.5-2,100000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_3f2e7e83_9_L=2,N=512,activation=ELU,batch_size=2688,lr=0.0014,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=100000000_2023-06-01_03-05-45",True
9,1.0,536.5375945568085,387.2404202625,387.383663925,0.0625170304830459,0.0244,536.5734686851501,True,,,1,b22fe7ab,414059d33dcb49c6bc6d50fcc8414bf7,2023-06-01_03-43-27,1685580207,536.5734686851501,43442,ds28,192.168.3.128,536.5734686851501,0,1,0.0060193538665771,2,1984,atan,3424,0.0244,ReduceLROnPlateau-0.5-2,10000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=8,HyperOptSearch+ASHAScheduler/trainable_b22fe7ab_10_L=2,N=1984,activation=atan,batch_size=3424,lr=0.0244,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=1000000_2023-06-01_03-34-30",
