ndims,boundsA,boundsB,N,L,activation,num_points,use_sobol,batch_size,lr,lr_scheduler,epoch,time,train MSE_f,test MSE_f,test RMSE_u,lr
2,[0, 1],128,2,sin,10000,True,64,0.0001,None,31.04,30,1.150e+00,1.061e+00,4.531e-03,1.0e-04
2,[0, 1],128,2,sin,10000,True,64,0.001,None,31.22,30,8.698e-03,5.465e-03,8.925e-04,1.0e-03
2,[0, 1],128,2,sin,10000,True,64,0.01,None,31.20,30,5.545e-01,1.085e-01,4.654e-03,1.0e-02
2,[0, 1],128,2,sin,10000,True,64,0.1,None,31.20,30,9.465e+08,7.654e+08,5.060e-01,1.0e-01
2,[0, 1],128,2,sin,10000,True,128,0.0001,None,61.46,30,6.110e-01,5.846e-01,3.533e-03,1.0e-04
2,[0, 1],128,2,sin,10000,True,128,0.001,None,61.44,30,2.095e-02,1.248e-02,1.610e-03,1.0e-03
2,[0, 1],128,2,sin,10000,True,128,0.01,None,61.40,30,3.851e-01,8.999e-01,1.578e-02,1.0e-02
2,[0, 1],128,2,sin,10000,True,128,0.1,None,61.58,30,2.337e+02,1.970e+02,8.838e-02,1.0e-01
2,[0, 1],128,2,sin,10000,True,256,0.0001,None,121.05,30,7.505e-01,7.225e-01,4.153e-03,1.0e-04
2,[0, 1],128,2,sin,10000,True,256,0.001,None,121.36,30,1.634e-02,1.659e-02,2.150e-03,1.0e-03
2,[0, 1],128,2,sin,10000,True,256,0.01,None,121.31,30,1.227e+00,3.211e-01,1.085e-02,1.0e-02
2,[0, 1],128,2,sin,10000,True,256,0.1,None,121.54,30,2.955e+03,2.190e+03,4.978e-01,1.0e-01
2,[0, 1],128,2,sin,10000,True,512,0.0001,None,238.67,30,5.372e-01,5.206e-01,3.717e-03,1.0e-04
2,[0, 1],128,2,sin,10000,True,512,0.001,None,238.51,30,8.665e-03,3.398e-03,6.053e-04,1.0e-03
2,[0, 1],128,2,sin,10000,True,512,0.01,None,238.61,30,2.815e-01,7.008e-02,7.334e-03,1.0e-02
2,[0, 1],128,2,sin,10000,True,512,0.1,None,238.67,30,2.524e+03,2.437e+03,4.978e-01,1.0e-01
2,[0, 1],128,2,sin,10000,True,1024,0.0001,None,461.41,30,5.680e-01,5.519e-01,4.099e-03,1.0e-04
2,[0, 1],128,2,sin,10000,True,1024,0.001,None,461.10,30,2.827e-03,2.968e-03,4.932e-04,1.0e-03
2,[0, 1],128,2,sin,10000,True,1024,0.01,None,461.41,30,1.188e-01,5.409e-02,9.795e-03,1.0e-02
2,[0, 1],128,2,sin,10000,True,1024,0.1,None,462.00,30,9.223e+02,8.969e+02,3.407e-01,1.0e-01
2,[0, 1],128,2,sin,10000,True,2048,0.0001,None,877.61,30,7.163e-01,7.006e-01,5.109e-03,1.0e-04
2,[0, 1],128,2,sin,10000,True,2048,0.001,None,879.61,30,4.630e-03,1.071e-02,1.528e-03,1.0e-03
